Username,Pregunta
Pep,¿Cuál es el lugar más frío de la tierra?
Peque,¿Cuál es el río más largo del mundo?
Juana,¿En qué continente está Ecuador?
Ceci,¿Dónde originaron los juegos olímpicos?
Juanita,¿Qué tipo de animal es la ballena?
Juan,¿De qué colores es la bandera de México?
Lola,¿Qué cantidad de huesos en el cuerpo humano?
Charly,¿Cuánto es dos mas dos?
Carlitos,¿Qué gusto tiene la sal?
Lula,¿Quién engaño a Roger Rabbit?
Carmela,¿Cómo se llama la Reina del Reino Unido?
Pepito,¿Dónde está mi auto?
Estela,¿Quién mato al señor Burns?
Fercho,¿Qué clavo claavó pablito?
Juanita,¿Cuál es el lugar más frío de la tierra?
Estela,¿Cuál es el río más largo del mundo?
Juanita,¿En qué continente está Ecuador?
Ceci,¿Dónde originaron los juegos olímpicos?
Juana,¿Qué tipo de animal es la ballena?
Pepito,¿De qué colores es la bandera de México?
Carmela,¿Qué cantidad de huesos en el cuerpo humano?
Charly,¿Cuánto es dos mas dos?
Juan,¿Qué gusto tiene la sal?
Juan,¿Quién engaño a Roger Rabbit?
Lula,¿Cómo se llama la Reina del Reino Unido?
Lula,¿Dónde está mi auto?
Peque,¿Quién mato al señor Burns?
Peque,¿Qué clavo claavó pablito?
Carmela,¿Cuál es el lugar más frío de la tierra?
Carmela,¿Cuál es el río más largo del mundo?
Pep,¿En qué continente está Ecuador?
Charly,¿Dónde originaron los juegos olímpicos?
Charly,¿Qué tipo de animal es la ballena?
Lola,¿De qué colores es la bandera de México?
Lola,¿Qué cantidad de huesos en el cuerpo humano?
Pep,¿Cuánto es dos mas dos?
Juana,¿Qué gusto tiene la sal?
Estela,¿Quién engaño a Roger Rabbit?
Fercho,¿Cómo se llama la Reina del Reino Unido?
Fercho,¿Dónde está mi auto?
Ceci,¿Quién mato al señor Burns?
Lola,¿Qué clavo claavó pablito?
